run,experiment,variant,coverage,samples,fold_count,checkpoint_count,selection_metric,cv_metric_mean,cv_metric_std,oof_tile_rmse,oof_global_rmse,oof_mae,oof_bias,best_rain_threshold_tile_rmse,best_value_threshold_tile_rmse,calibration_source,score_source,artifact_warning,source_path
exp003,exp003,,full_oof,40686,5,5,,1.078130778852288,0.2662497896258415,0.6578913590971195,1.0942934892886482,0.3467205366493765,0.08423292430121557,,,exp003_oof,E-3 OOF recomputation,,outputs/analysis/exp003/analysis_summary.json
exp004,exp004,,full_oof,40686,5,5,,1.0702060628407,0.2643363851691115,0.6306514073784132,1.0849845542214727,0.28680960452967524,0.004283148986027946,,,exp004_oof,E-3 OOF recomputation,,outputs/analysis/exp004/analysis_summary.json
exp005,exp005,,full_oof,40686,5,5,,1.0839838103542532,0.26586742312992667,0.6558525586226971,1.098965831465284,0.3411813728957411,0.07100279440848495,,,exp005_oof,E-3 OOF recomputation,,outputs/analysis/exp005/analysis_summary.json
exp006,exp006,,full_oof,40686,5,5,,1.0799095227096112,0.2673001439681276,0.6468059483476116,1.0954730251380163,0.3093276269208627,0.025388592960494658,,,exp006_oof,E-3 OOF recomputation,,outputs/analysis/exp006/analysis_summary.json
exp008,exp008,,full_oof,40686,5,5,tile_rmse,1.0702060628407,0.2643363851691115,0.6306514073784132,1.0849845542214727,0.28680960452967524,0.004283148986027946,0.6289079095268454,0.6295363456933764,exp008_oof,analysis_summary,,outputs/analysis/exp008/analysis_summary.json
exp009,exp009,,full_oof,40686,5,5,tile_rmse,0.6311127769401115,0.1690897474162821,0.6239413327349473,1.083465757882074,0.2913669988542915,0.015454952860959034,0.6186652636989249,0.6210898290236431,exp009_oof,analysis_summary,,outputs/analysis/exp009/analysis_summary.json
exp010,exp010,,full_oof,40681,5,5,tile_rmse,0.649763963451866,0.24212893446883765,0.6429138007419206,1.1094728997259995,0.298114777746893,0.01075954050683756,0.638666602466222,0.6407208481174841,exp010_oof,analysis_summary,,outputs/analysis/exp010/analysis_summary.json
exp011,exp011,,full_oof,40686,5,5,tile_rmse,0.6416401022147371,0.18128735594183626,0.6327977835147924,1.104283937073312,0.2814505085263263,-0.028054188350953913,0.6315701349945319,0.6320798830179795,exp011_oof,analysis_summary,,outputs/analysis/exp011/analysis_summary.json
exp012,exp012,,full_oof,40686,5,5,tile_rmse,0.6293427058640921,0.17780860854373565,0.6216131326006141,1.0831538387769557,0.2825059955099367,-0.004790615023823769,0.6186405678167718,0.6195002300783355,exp012_oof,analysis_summary,,outputs/analysis/exp012/analysis_summary.json
exp013,exp013,,full_oof,40686,5,5,tile_rmse,0.6363829506512682,0.1719098330861314,0.628460515073362,1.0955052080866494,0.29019408330053387,0.0073281992623390226,0.6244418856470201,0.6264853147719653,exp013_oof,analysis_summary,,outputs/analysis/exp013/analysis_summary.json
exp015,exp015,,full_oof,40686,5,5,tile_rmse,0.6311127769401115,0.1690897474162821,0.6239413327349473,1.083465757882074,0.2913669988542915,0.015454952860959034,0.6186652636989249,0.6210898290236431,exp015_oof (exp009 checkpoints),analysis_summary,,outputs/analysis/exp015/analysis_summary.json
